,solver,instance,vertices,edges,propagating_vertices,omega,variables,constraints,run,lower_bound,upper_bound,gap,result,nodes,t_solver,callbacks,t_callback,lazy_constraints
3493,efpss-outp-init,../inputs/case1354pegase.graphml,1354,1710,422,8,2749,3802,4,311.0,311,0.0,Optimal,1,50520,5,949,0
3494,efpss-inp,../inputs/case13659pegase.graphml,13659,18625,4024,1,57882,29605,3,7462.0,7465,0.0004018754186202277,Timeout,156187,903396690,233,1303529,14294
3495,efpss-inp-outp,../inputs/case30.graphml,30,41,7,2,100,62,0,8.0,8,0.0,Optimal,1,4651,5,67,1
3496,efpss-outp-init,../inputs/case13659pegase.graphml,13659,18625,4024,18,28123,43003,2,2736.0,2736,0.0,Optimal,1,1694003,15,29978,5
3497,efpss-outp-init,../inputs/case_Texas.graphml,2000,2667,376,5,4369,6853,4,462.0,462,0.0,Optimal,2111,10793657,13,5452,5
3498,efpss-inp-outp,../inputs/case6ww.graphml,6,11,1,0,31,16,2,5.0,5,0.0,Optimal,1,617,2,6,0
3499,efpss-inp-outp,../inputs/case9241pegase.graphml,9241,14207,2902,17,18634,17038,0,2010.0,2010,0.0,Optimal,1,2369960,18,26966,141
3500,efpss-inp,../inputs/case96rts.graphml,73,108,9,0,318,171,2,64.0,64,0.0,Optimal,39,10503,14,501,33
3501,efpss-outp,../inputs/case13659pegase.graphml,13659,18625,4024,25,27147,17714,0,2721.0,2721,0.0,Optimal,1,1271616,15,34354,111
3502,efpss-outp-init,../inputs/case_ieee30.graphml,30,41,7,3,89,88,0,7.0,7,0.0,Optimal,1,4800,2,23,0
3503,efpss-outp-init,../inputs/case_Texas.graphml,2000,2667,376,2,7359,7712,2,647.0,647,0.0,Optimal,3154,9312938,32,20901,12
3504,efpss-inp-outp,../inputs/case33bw.graphml,33,32,1,2,43,38,0,11.0,11,0.0,Optimal,1,1867,2,12,0
3505,efpss-inp-outp,../inputs/case13659pegase.graphml,13659,18625,4024,34,26459,25510,4,2721.0,2721,0.0,Optimal,25,1800850,12,32633,93
3506,efpss-outp-init,../inputs/case13659pegase.graphml,13659,18625,4024,39,26205,42929,2,2721.0,2721,0.0,Optimal,1,1371452,9,25983,5
3507,efpss-inp,../inputs/case_GB2224.graphml,2224,2804,1367,10,6410,4257,1,322.0,322,0.0,Optimal,1628,2836531,55,44706,2193
3508,efpss-inp-outp,../inputs/case145.graphml,145,422,71,20,451,330,0,18.0,18,0.0,Optimal,1,28482,12,544,22
3509,efpss-inp-outp,../inputs/case1951rte.graphml,1951,2375,651,6,5006,4023,3,406.0,406,0.0,Optimal,1,364380,20,7903,28
3510,efpss-outp-init,../inputs/case2746wp.graphml,2746,3274,704,6,5027,6389,1,685.0,685,0.0,Optimal,1,246556,12,4103,1
3511,efpss-inp-outp,../inputs/case2736sp.graphml,2736,3265,645,3,6506,5127,0,702.0,702,0.0,Optimal,2045,4147939,29,15795,72
3512,efpss-outp,../inputs/case_illinois200.graphml,200,245,44,7,413,247,0,40.0,40,0.0,Optimal,1,10100,8,345,1
3513,efpss-inp-outp,../inputs/case2746wop.graphml,2746,3300,709,5,5377,4975,1,681.0,681,0.0,Optimal,221,786884,17,8417,54
3514,efpss-outp-init,../inputs/case13659pegase.graphml,13659,18625,4024,9,32035,43333,2,2856.0,2856,0.0,Optimal,782,8101817,16,39491,12
3515,efpss-inp,../inputs/case6468rte.graphml,6468,8065,2384,6,16476,11153,3,1313.0,1313,0.0,Optimal,2053,8703132,52,106666,3018
3516,efpss-outp-init,../inputs/case9241pegase.graphml,9241,14207,2902,11,19547,23328,1,2010.0,2010,0.0,Optimal,611,3608119,17,25339,12
3517,efpss-inp,../inputs/case6495rte.graphml,6495,8084,2344,10,14354,10935,1,1314.0,1314,0.0,Optimal,2265,5451427,34,60022,2323
3518,efpss-inp-outp,../inputs/case2736sp.graphml,2736,3265,645,4,5722,4931,2,689.0,689,0.0,Optimal,3827,3711520,19,9639,50
3519,efpss-inp-outp,../inputs/case6ww.graphml,6,11,1,2,31,16,1,2.0,2,0.0,Optimal,1,781,1,2,0
3520,efpss-outp-init,../inputs/case39.graphml,39,46,10,1,154,119,1,16.0,16,0.0,Optimal,1,1511,2,27,0
3521,efpss-inp,../inputs/case39.graphml,39,46,10,5,71,64,1,9.0,9,0.0,Optimal,1,3210,6,156,17
3522,efpss-inp,../inputs/case_ieee30.graphml,30,41,7,5,68,49,2,6.0,6,0.0,Optimal,1,3427,6,153,10
3523,efpss-outp-init,../inputs/case3375wp.graphml,3374,4068,889,1,13497,11249,4,1454.0,1454,0.0,Optimal,1810,3881072,13,12570,16
3524,efpss-inp-outp,../inputs/case_illinois200.graphml,200,245,44,5,464,386,3,45.0,45,0.0,Optimal,1,18875,10,464,2
3525,efpss-inp-outp,../inputs/case_iceland118.graphml,189,203,110,1,781,556,1,83.0,83,0.0,Optimal,1,13634,12,595,6
3526,efpss-outp,../inputs/case9241pegase.graphml,9241,14207,2902,21,18221,12189,4,2010.0,2010,0.0,Optimal,5011,12501397,21,35571,136
3527,efpss-outp,../inputs/case2746wp.graphml,2746,3274,704,0,11305,6196,2,2046.0,2046,0.0,Optimal,1,193402,12,8850,63
3528,efpss-outp,../inputs/case9.graphml,9,9,4,1,34,19,4,3.0,3,0.0,Optimal,1,922,3,46,1
3529,efpss-inp,../inputs/case96rts.graphml,73,108,9,5,102,98,2,19.0,19,0.0,Optimal,1,5045,11,224,13
3530,efpss-outp-init,../inputs/case_iceland118.graphml,189,203,110,0,869,928,0,96.0,96,0.0,Optimal,1,11655,6,569,10
3531,efpss-outp,../inputs/case145.graphml,145,422,71,0,1295,361,3,91.0,91,0.0,Optimal,3557,301150,51,9970,192
3532,efpss-outp-init,../inputs/case145.graphml,145,422,71,9,805,1170,4,18.0,18,0.0,Optimal,1,94029,12,698,10
3533,efpss-outp,../inputs/case1888rte.graphml,1888,2308,681,13,4049,2570,1,375.0,375,0.0,Optimal,1,79258,10,3219,17
3534,efpss-inp-outp,../inputs/case_ieee30.graphml,30,41,7,4,73,57,0,6.0,6,0.0,Optimal,1,2680,3,26,0
3535,efpss-inp-outp,../inputs/case300.graphml,300,409,66,7,542,508,4,73.0,73,0.0,Optimal,1,10526,6,393,4
3536,efpss-outp-init,../inputs/case1951rte.graphml,1951,2375,651,15,4102,6771,1,393.0,393,0.0,Optimal,1,85107,9,2953,1
